short_name	long_name
PWY-6786	detoxification of reactive carbonyls in chloroplasts
ASPASN-PWY	superpathway of aspartate and asparagine biosynthesis interconversion of aspartate and asparagine
PWY-2902	cytokinins-O-glucoside biosynthesis
PWY-2841	cytokinins degradation
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP
PWY-6546	brassinosteroids inactivation
PWY-6477	gibberellin inactivation II (methylation)
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation
PWY-83	monolignol glucosides biosynthesis
PWY-6829	tRNA methylation (yeast)
PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV
PWY-6502	oxidized GTP and dGTP detoxification
PWY-6494	gibberellin inactivation III (epoxidation)
PWY-5505	glutamate and glutamine biosynthesis
PWY-6736	sulfur volatiles biosynthesis
PWY-6801	volatile esters biosynthesis (during fruit ripening)
PWY-1121	suberin monomers biosynthesis
LIPASYN-PWY	phospholipases
PWY-102	gibberellin inactivation I (2beta-hydroxylation)
PWY-6784	superpathway of cellulose and hemicellulose degradation (cellulolosome)
PWY-6805	cellulose degradation I (cellulosome)
TRNA-CHARGING-PWY	tRNA charging
PWY-6219	indole-3-acetyl-amide conjugate biosynthesis
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III
PWY-6806	carotenoid cleavage dioxygenases
PWY-7120	esterified suberin biosynthesis
PWY-4201	volatile cinnamoic ester biosynthesis
PWY-6930	phenolic malonylglucosides biosynthesis
PWY-6603	dicranin biosynthesis
COLANSYN-PWY	colanic acid building blocks biosynthesis
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation
PWY-6146	Methanobacterium thermoautotrophicum biosynthetic metabolism
PWY-6330	acetaldehyde biosynthesis II
PWY-5750	itaconate biosynthesis
PWY-6333	acetaldehyde biosynthesis I
PWY-5782	2-keto-L-gulonate biosynthesis
PWY-862	fructan degradation
PWY-6724	starch degradation II
GLYCOCAT-PWY	glycogen degradation I
CALVIN-PWY	Calvin-Benson-Bassham cycle
PWY-842	starch degradation I
SUCSYN-PWY	sucrose biosynthesis
PWY-1061	homogalacturonan biosynthesis
PWY-1001	cellulose biosynthesis
PWY-822	fructan biosynthesis
GLUCONEO-PWY	gluconeogenesis I
PWY66-399	gluconeogenesis III
PWY-6142	gluconeogenesis II (Methanobacterium thermoautotrophicum)
PWY-3821	galactose degradation III
PWY-6140	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis
PWY-5834	CDP-tyvelose biosynthesis
PWY-6974	dTDP-L-olivose biosynthesis
PWY-6145	superpathway of sialic acid and CMP-sialic acid biosynthesis
PWY-5832	CDP-paratose biosynthesis
PWY-1269	CMP-KDO biosynthesis I
PWY-5739	GDP-alpha-D-perosamine biosynthesis
PWY-5113	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)
PWY-6144	CMP-N-glycoloylneuraminate biosynthesis
PWY-82	UDP-L-arabinose biosynthesis II (from L-arabinose)
PWY-5661	GDP-glucose biosynthesis
PWY-6953	dTDP-3-acetamido-3,6-dideoxy-alpha-D-galactose biosynthesis
PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate biosynthesis
PWY-6478	GDP-D-glycero-alpha-D-manno-heptose biosynthesis
PWY-7104	dTDP-L-megosamine biosynthesis
PWY-63	UDP-L-arabinose biosynthesis I (from UDP-xylose)
PWY-5740	GDP-L-colitose biosynthesis
PWY-6942	dTDP-D-desosamine biosynthesis
PWY-6973	dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis
PWY-5830	CDP-ascarylose biosynthesis
PWY-5831	CDP-abequose biosynthesis
PWY-5833	CDP-3,6-dideoxyhexose biosynthesis
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-5738	GDP-6-deoxy-D-talose biosynthesis
PWY-7028	UDP-N,N-diacetylbacillosamine biosynthesis
PWY-4	UDP-D-galacturonate biosynthesis II (from D-galacturonate)
PWY-5111	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)
PWY-7127	CDP-D-mannitol biosynthesis
PWY-6976	dTDP-L-mycarose biosynthesis
PWY0-1241	ADP-L-glycero-beta-D-manno-heptose biosynthesis
PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)
PWY-4861	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY-5115	GDP-L-galactose biosynthesis
