SAMPLE	PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT	ORF
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_3417_1
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_5953_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_7270_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_643_1
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_14_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_670_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_6849_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_3581_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_6850_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_7146_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_1112_1
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_807_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_7285_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_6790_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_7215_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_1389_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_2748_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_5010_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_5407_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_5712_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_1182_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_7082_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_7761_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_1343_1
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_1950_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_4484_1
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_6217_1
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_5525_0
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65	1_upper_euphotic_7071_0
