SAMPLE	PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65
1_upper_euphotic	PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	12	9	46
1_upper_euphotic	REDCITCYC	TCA cycle III (helicobacter)	9	8	33
1_upper_euphotic	PWY-5690	TCA cycle II (eukaryotic)	9	8	42
1_upper_euphotic	TCA	TCA cycle I (prokaryotic)	10	9	43
1_upper_euphotic	ANARESP1-PWY	respiration (anaerobic)	13	10	44
1_upper_euphotic	PWY-3781	aerobic respiration (cytochrome c)	4	4	31
1_upper_euphotic	PWY-241	C4 photosynthetic carbon assimilation cycle	4	3	12
1_upper_euphotic	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	5	5	13
1_upper_euphotic	P21-PWY	pentose phosphate pathway (partial)	3	3	8
1_upper_euphotic	METH-ACETATE-PWY	methanogenesis from acetate	6	3	11
1_upper_euphotic	PWY-6780	hydrogen production VI	2	1	7
1_upper_euphotic	PWY-1042	glycolysis IV (plant cytosol)	10	9	16
1_upper_euphotic	ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase)	10	9	18
1_upper_euphotic	GLYCOLYSIS	glycolysis I	11	10	20
1_upper_euphotic	PWY-5482	pyruvate fermentation to acetate II	3	2	7
1_upper_euphotic	P108-PWY	pyruvate fermentation to propionate I	7	4	23
1_upper_euphotic	PWY-6587	pyruvate fermentation to ethanol III	3	3	17
1_upper_euphotic	P122-PWY	heterolactic fermentation	18	14	44
1_upper_euphotic	FERMENTATION-PWY	mixed acid fermentation	16	12	55
1_upper_euphotic	PWY0-1334	NADH to cytochrome bd oxidase electron transfer	2	2	11
1_upper_euphotic	PWY0-1353	succinate to cytochrome bd oxidase electron transfer	2	2	10
1_upper_euphotic	P344-PWY	acrylonitrile degradation	3	2	8
1_upper_euphotic	PWY-723	alkylnitronates degradation	2	2	10
1_upper_euphotic	PWY-6963	ammonia assimilation cycle I	2	2	21
1_upper_euphotic	PWY-6964	ammonia assimilation cycle II	2	2	21
1_upper_euphotic	PWY-4984	urea cycle	5	4	8
1_upper_euphotic	PWY0-1298	pyrimidine deoxyribonucleosides degradation	6	3	9
1_upper_euphotic	FAO-PWY	fatty acid beta-oxidation I	7	5	62
1_upper_euphotic	PWY0-1337	oleate beta-oxidation	3	2	17
1_upper_euphotic	NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)	10	6	16
1_upper_euphotic	PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	10	5	15
1_upper_euphotic	PROPIONMET-PWY	methylmalonyl pathway	3	2	12
1_upper_euphotic	GLYOXDEG-PWY	glycolate and glyoxylate degradation II	2	2	11
1_upper_euphotic	PYRUVDEHYD-PWY	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)	3	3	11
1_upper_euphotic	PWY-1622	formaldehyde assimilation I (serine pathway)	13	9	21
1_upper_euphotic	PWY-5392	reductive TCA cycle II	12	8	37
1_upper_euphotic	P42-PWY	incomplete reductive TCA cycle	7	6	27
1_upper_euphotic	CODH-PWY	reductive acetyl coenzyme A pathway	8	6	20
1_upper_euphotic	PWY-5436	threonine degradation IV	2	2	8
1_upper_euphotic	METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)	3	2	12
