SAMPLE	PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
1_upper_euphotic	PWY-5913	TCA cycle VI (obligate autotrophs)	11	10	65
1_upper_euphotic	PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	12	9	46
1_upper_euphotic	REDCITCYC	TCA cycle III (helicobacter)	9	8	33
1_upper_euphotic	PWY-5690	TCA cycle II (eukaryotic)	9	8	42
1_upper_euphotic	TCA	TCA cycle I (prokaryotic)	10	9	43
1_upper_euphotic	ANARESP1-PWY	respiration (anaerobic)	13	10	44
1_upper_euphotic	PWY-3781	aerobic respiration (cytochrome c)	4	4	31
1_upper_euphotic	PWY-101	photosynthesis light reactions	4	1	3
1_upper_euphotic	PWY-241	C4 photosynthetic carbon assimilation cycle	4	3	12
1_upper_euphotic	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	5	5	13
1_upper_euphotic	P21-PWY	pentose phosphate pathway (partial)	3	3	8
1_upper_euphotic	PWY-6118	glycerol-3-phosphate shuttle	2	1	3
1_upper_euphotic	METHANOGENESIS-PWY	methanogenesis from CO2	6	1	1
1_upper_euphotic	METH-ACETATE-PWY	methanogenesis from acetate	6	3	11
1_upper_euphotic	PWY-6772	hydrogen production V	2	1	5
1_upper_euphotic	PWY-6780	hydrogen production VI	2	1	7
1_upper_euphotic	PWY-1042	glycolysis IV (plant cytosol)	10	9	16
1_upper_euphotic	ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase)	10	9	18
1_upper_euphotic	GLYCOLYSIS	glycolysis I	11	10	20
1_upper_euphotic	PWY-5481	pyruvate fermentation to lactate	1	1	5
1_upper_euphotic	PWY-5482	pyruvate fermentation to acetate II	3	2	7
1_upper_euphotic	P108-PWY	pyruvate fermentation to propionate I	7	4	23
1_upper_euphotic	PWY-6587	pyruvate fermentation to ethanol III	3	3	17
1_upper_euphotic	P122-PWY	heterolactic fermentation	18	14	44
1_upper_euphotic	FERMENTATION-PWY	mixed acid fermentation	16	12	55
1_upper_euphotic	PWY0-1334	NADH to cytochrome bd oxidase electron transfer	2	2	11
1_upper_euphotic	PWY0-1353	succinate to cytochrome bd oxidase electron transfer	2	2	10
1_upper_euphotic	PYRUVOX-PWY	pyruvate oxidation pathway	1	1	5
1_upper_euphotic	P641-PWY	phenylmercury acetate degradation	2	1	1
1_upper_euphotic	PWY0-1305	glutamate dependent acid resistance	1	1	2
1_upper_euphotic	PWY-6842	glutathione-mediated detoxification II	8	2	9
1_upper_euphotic	DETOX1-PWY	superoxide radicals degradation	2	2	4
1_upper_euphotic	PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	17	1	6
1_upper_euphotic	PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)	17	1	6
1_upper_euphotic	PWY-6943	testosterone and androsterone degradation to androstendione	3	1	2
1_upper_euphotic	PWY-5988	wound-induced proteolysis I	1	1	6
1_upper_euphotic	PWY-6018	seed germination protein turnover	1	1	6
1_upper_euphotic	PWY66-201	nicotine degradation II	16	1	1
1_upper_euphotic	PWY66-221	nicotine degradation III	18	1	1
1_upper_euphotic	P344-PWY	acrylonitrile degradation	3	2	8
1_upper_euphotic	PWY-6518	glycocholate metabolism (bacteria)	7	1	2
1_upper_euphotic	PWY-4061	glutathione-mediated detoxification	5	2	9
