RXN	1_upper_euphotic
RXN1G-617	1
RXN-6641	1
RXN0-2381	2
DTDPGLUCOSEPP-RXN	2
RXN0-6479	3
DADPKIN-RXN	4
RXN3DJ-170	1
RXN-11496	5
DIHYDROFOLATEREDUCT-RXN	1
R311-RXN	7
PNPOXI-RXN	1
CARBON-MONOXIDE-DEHYDROGENASE-RXN	7
RXN1G-384	1
FOLYLPOLYGLUTAMATESYNTH-RXN	1
CHORISMATE-SYNTHASE-RXN	3
PYRUFLAVREDUCT-RXN	2
RXN0-5114	1
RXN-12140	5
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	1
CTPSYN-RXN	3
RXN-9556	1
ALLOPHANATE-HYDROLASE-RXN	2
GALACTONDEHYDRAT-RXN	1
RXN-12134	5
RXNN-404	1
RXN0-262	1
NICONUCADENYLYLTRAN-RXN	2
DLACTDEHYDROGFAD-RXN	1
METHYLCROTONYL-COA-CARBOXYLASE-RXN	3
GLUTAMATE-SYNTHASE-NADH-RXN	14
2-DEHYDROPANTOATE-REDUCT-RXN	2
F16ALDOLASE-RXN	1
ASPARTATEKIN-RXN	3
FORMATETHFLIG-RXN	4
RXN0-4301	2
RXN0-1147	4
ALARACECAT-RXN	4
1.2.7.4-RXN	7
GLUTSEMIALDEHYDROG-RXN	2
1.21.3.1-RXN	1
2.1.1.79-RXN	1
ACETYLGLUTKIN-RXN	2
ISOCHORSYN-RXN	1
RXN0-2382	6
KYNURENINASE-RXN	1
2-OXOGLUTARATE-SYNTHASE-RXN	3
TYRAMINOTRANS-RXN	2
QUINOLINATE-SYNTHA-RXN	2
GLYOXI-RXN	1
RXN1G-637	1
BISPHOSPHOGLYCERATE-MUTASE-RXN	3
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	1
HOMOCYSMETB12-RXN	5
S-ADENMETSYN-RXN	4
RXN-8023	4
3.7.1.9-RXN	2
3.4.11.1-RXN	6
RXN-10655	1
OROTPDECARB-RXN	2
DEOXYRIBOSE-P-ALD-RXN	1
GLUTAMIDOTRANS-RXN	5
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	3
RXN-8079	1
RXN0-1461	4
TETHYDPICSUCC-RXN	1
CITTRANS-RXN	1
3-DEHYDROQUINATE-SYNTHASE-RXN	4
THREODEHYD-RXN	1
3.5.2.14-RXN	1
GTPPYPHOSKIN-RXN	2
HYDROXYPYRUVATE-REDUCTASE-RXN	1
RXN-10063	1
ACETATE--COA-LIGASE-ADP-FORMING-RXN	2
ACETYL-COA-ACETYLTRANSFER-RXN	13
UGD-RXN	4
GUANINE-DEAMINASE-RXN	1
SUCCCOASYN-RXN	3
ISPH2-RXN	1
GCVT-RXN	9
MERCURY-II-REDUCTASE-RXN	1
