PWY	1_upper_euphotic	6_upper_euphotic	2_chlorophyllmax	3_below_euphotic	5_uppermesopelagic	7_omz	4_deepabyss
SUCSYN-PWY	0	16	10	8	17	13	16
PWY-6733	0	1	0	0	0	0	0
PWY-5274	0	0	0	1	0	0	0
PWY-6728	0	0	0	46	0	59	0
PWY-241	12	6	8	6	7	12	7
TOLUENE-DEG-CATECHOL-PWY	0	0	0	1	0	0	0
FESULFOX-PWY	0	0	0	0	0	0	1
PWY-5364	0	0	0	1	0	0	0
PWY-6519	0	0	1	1	2	0	0
PWY-6167	3	8	8	3	11	21	0
PWY-5269	9	6	0	1	7	6	3
PWY-5030	0	4	4	1	0	10	5
PWY-5652	0	5	1	0	0	3	4
PWY-5481	5	1	2	2	2	6	9
PWY-1121	0	0	1	0	0	1	0
PWY-4381	16	15	6	9	13	18	17
PWY-6608	6	5	0	0	0	0	0
GLYSYN-PWY	2	7	2	4	5	9	6
PWY-5871	0	2	1	0	0	1	1
ARGDEG-III-PWY	0	5	0	0	0	0	0
PWY-5940	2	0	0	2	4	0	0
PWY0-1241	0	0	0	2	0	2	5
PWY-6587	17	27	0	13	26	31	33
PWY-5055	1	1	0	1	0	0	0
PWY-5833	0	0	2	2	2	4	0
GLYOXDEG-PWY	11	4	0	0	1	4	6
PWY-6148	6	1	0	2	3	2	3
METHIONINE-DEG1-PWY	12	6	9	4	4	9	11
PWY-5703	3	2	0	0	2	2	1
PWY-5668	11	6	0	0	9	6	3
FORMASS-PWY	0	0	0	0	1	0	0
PWY-5493	2	2	0	3	1	2	4
PWY-5986	4	5	1	1	1	7	7
PWY-6805	1	0	0	1	2	0	2
PWY0-321	2	2	0	0	0	0	1
PWY-5403	1	0	0	0	0	0	2
TRPSYN-PWY	16	12	15	14	11	26	17
PWY-5392	37	26	31	30	29	45	38
PWY-6840	2	0	1	0	0	2	2
PWY-5941	0	0	0	0	0	0	1
PWY-5046	0	0	0	6	7	13	10
PWY-1801	0	1	0	0	0	0	1
PWY-6711	0	0	0	1	1	0	0
HOMOSER-THRESYN-PWY	1	8	3	4	9	9	14
PWY-5905	1	1	1	1	2	0	1
PWY-6124	10	10	3	5	13	0	0
PWY-6966	1	0	0	0	1	0	1
PWY-6689	0	0	0	1	0	0	0
P184-PWY	0	0	0	0	0	2	0
PWY-5155	0	0	1	0	0	0	0
PWY66-201	1	0	0	0	3	2	1
PWY0-1297	9	19	0	5	0	21	17
HEME-BIOSYNTHESIS-II	11	6	2	6	5	9	5
PWY-5083	20	28	13	20	25	51	32
2OXOBUTYRATECAT-PWY	1	2	1	3	1	2	7
PWY-6482	0	0	0	0	1	1	0
PWY-6317	5	3	3	2	0	10	0
PWY490-3	0	23	12	0	18	23	26
P3-PWY	21	28	0	0	0	19	25
PWY-5	7	4	1	6	5	8	11
P221-PWY	0	31	0	8	0	25	30
CENTFERM-PWY	0	45	0	0	0	0	56
PWY-5519	0	1	0	0	0	0	0
LYSINE-AMINOAD-PWY	0	0	0	0	2	0	0
GLUCUROCAT-PWY	4	0	0	1	1	2	1
ALACAT2-PWY	3	3	3	3	4	0	5
VALDEG-PWY	21	24	14	16	20	22	26
PWY-5885	0	0	1	0	0	0	0
PWY-5747	4	0	0	0	0	3	4
PWY-6164	11	5	5	10	9	12	9
PWY-5427	0	6	0	0	0	0	0
ADENOSYLHOMOCYSCAT-PWY	0	0	0	0	8	0	0
PWY-6105	0	0	0	1	0	0	2
TRPKYNCAT-PWY	2	0	0	0	0	0	0
UDPNACETYLGALSYN-PWY	0	0	4	0	0	0	0
PWY-181	0	0	0	0	0	17	0
PWY-6549	45	45	22	35	41	41	44
PWY-5768	0	0	0	0	0	15	17
PWY-5947	0	1	0	0	0	0	0
PWY-5177	0	0	26	0	0	47	53
ANARESP1-PWY	44	42	32	26	32	38	48
PWY-6510	1	0	0	0	1	0	1
PWY-5298	0	0	3	0	0	1	0
PWY-6282	1	0	0	0	0	0	0
PWY-5810	0	0	1	0	0	0	0
PWY-1622	21	26	24	17	20	40	31
PWY-3841	0	21	8	19	16	0	31
PWY-2221	15	16	14	12	0	18	26
PWY-1263	0	0	0	1	1	2	1
P108-PWY	23	15	13	19	17	18	28
PWY-5726	0	1	0	0	0	0	0
PWY-6362	1	0	0	0	0	0	0
PWY-3821	7	0	5	0	9	15	14
PWY-6098	0	0	0	2	0	1	3
PROPIONMET-PWY	12	10	3	15	11	9	14
P122-PWY	44	56	32	30	50	66	79
PWY-5989	9	0	0	0	0	0	0
P163-PWY	0	0	0	9	18	22	27
PWY-6223	0	0	1	0	0	0	2
PWY-5419	0	0	0	0	0	1	3
PWY-5521	0	1	1	0	0	1	0
PWY-6537	0	8	1	0	0	3	0
PWY-6333	8	9	6	7	9	14	13
PWY-5964	1	0	0	0	0	3	0
PWY4FS-3	0	0	0	0	0	0	1
PWY-3661	0	0	0	0	16	0	0
PWY-5921	8	4	3	7	9	6	10
PWY-6529	0	0	0	1	1	1	0
PWY-5508	0	7	0	0	5	7	2
PWY-5915	0	1	0	1	0	0	0
PYRIDOXSYN-PWY	5	11	9	9	6	11	9
PWY-6695	2	3	0	1	5	1	2
PWY0-181	2	0	0	0	0	0	0
PWY0-1507	2	2	3	3	6	10	5
PWY0-1317	10	24	7	5	0	0	22
PWY-3722	0	2	2	1	1	3	3
CITRULBIO-PWY	18	19	10	27	10	22	24
PWY-5122	1	0	0	0	4	1	1
PWY-6458	2	0	0	1	0	1	3
PWY1-2	3	3	0	2	1	7	1
PWY0-1319	4	2	0	6	3	4	4
P141-PWY	0	0	0	1	1	0	0
PWY-5148	1	2	1	0	1	1	3
PWY-5169	0	0	0	0	0	2	1
