RXN	1_upper_euphotic	6_upper_euphotic	2_chlorophyllmax	3_below_euphotic	5_uppermesopelagic	7_omz	4_deepabyss
1.7.7.2-RXN	0	0	2	0	0	1	1
PPGPPSYN-RXN	0	1	0	0	0	0	0
RXN-6641	1	0	1	0	1	3	2
RXN3DJ-170	1	0	0	0	0	0	2
GUANIDINOBUTYRASE-RXN	0	0	0	1	0	1	2
1.2.1.32-RXN	0	4	1	0	1	2	3
RXN0-3601	0	2	1	1	0	1	0
RXN-11496	5	6	3	3	1	4	5
DIHYDROFOLATEREDUCT-RXN	1	3	0	1	1	1	2
R311-RXN	7	8	6	7	13	10	12
PNPOXI-RXN	1	1	3	1	0	3	3
CARBON-MONOXIDE-DEHYDROGENASE-RXN	7	10	3	10	8	22	10
RXN1G-384	1	0	0	0	0	0	0
ARGINASE-RXN	0	0	0	1	0	1	1
BAIAEUBSP-RXN	0	0	0	0	0	1	0
CHORISMATE-SYNTHASE-RXN	3	2	2	2	2	1	3
RXN-8890	0	0	0	0	0	0	1
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	1	0	0	0	1	0	0
RXN-7614	0	0	0	0	0	2	0
RXN-5961	0	1	0	0	0	0	0
RIBOFLAVINSYNREDUC-RXN	0	0	0	0	2	0	1
MALONYL-COA-DECARBOXYLASE-RXN	0	0	1	0	0	0	0
ETHAMLY-RXN	0	0	1	0	0	0	0
RXN1A0-6316	0	1	0	1	1	0	0
ARGININE-2-MONOOXYGENASE-RXN	0	1	1	0	0	0	0
CTPSYN-RXN	3	0	3	3	9	5	1
RXN0-5199	0	1	0	0	3	0	0
RXN-9556	1	0	0	0	0	0	0
ALLOPHANATE-HYDROLASE-RXN	2	0	0	0	1	2	1
PROTOCATECHUATE-45-DIOXYGENASE-RXN	0	0	0	0	0	1	0
RXNN-404	1	0	0	0	0	0	1
RXN0-262	1	0	0	0	0	3	0
NICONUCADENYLYLTRAN-RXN	2	1	1	0	0	2	0
GLUTAMATE-SYNTHASE-NADH-RXN	14	11	8	17	10	15	14
2-DEHYDROPANTOATE-REDUCT-RXN	2	3	0	1	1	2	2
RXN0-1147	4	5	0	0	0	0	2
1.2.7.4-RXN	7	10	3	10	8	21	8
NICOTINE-DEHYDROGENASE-RXN	0	0	0	0	0	0	2
BETAGALACTOSID-RXN	0	1	0	0	0	0	0
ISOCHORSYN-RXN	1	2	0	0	0	0	0
RXN0-2382	6	6	2	3	1	6	2
2-OXOGLUTARATE-SYNTHASE-RXN	3	4	2	4	4	7	3
GLYOXI-RXN	1	1	0	1	0	1	1
RXN-10828	0	1	0	0	0	0	0
RXN1G-637	1	0	0	0	0	0	0
BISPHOSPHOGLYCERATE-MUTASE-RXN	3	1	2	2	1	2	5
RXN-7929	0	0	1	0	1	0	0
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	1	0	0	0	0	0	1
HOMOCYSMETB12-RXN	5	2	2	9	7	17	6
S-ADENMETSYN-RXN	4	3	2	1	1	2	5
3.7.1.9-RXN	2	0	0	0	0	0	0
PHENYLALANINE-4-MONOOXYGENASE-RXN	0	0	0	0	1	0	0
RXN-7002	0	0	0	3	0	0	0
3.11.1.2-RXN	0	1	0	5	1	2	0
DEOXYRIBOSE-P-ALD-RXN	1	0	0	0	1	1	0
RXN-8078	0	3	2	1	0	1	4
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	3	2	0	0	1	0	0
CITTRANS-RXN	1	0	0	0	1	4	5
RXN-7908	0	2	1	3	1	2	3
3-DEHYDROQUINATE-SYNTHASE-RXN	4	1	1	3	4	5	1
RXN-11761	0	1	0	0	1	0	0
AMINOBENZCOALIG-RXN	0	0	0	1	0	0	0
GTPPYPHOSKIN-RXN	2	1	2	4	2	4	2
2.1.1.5-RXN	0	0	0	0	1	0	0
HYDROXYPYRUVATE-REDUCTASE-RXN	1	0	0	0	1	0	1
R223-RXN	0	6	0	3	0	7	11
ADENOSINE-KINASE-RXN	0	0	0	0	1	0	0
UGD-RXN	4	0	2	0	4	5	7
2.4.1.36-RXN	0	0	2	0	1	0	4
SUCCCOASYN-RXN	3	1	5	7	1	9	2
RXN-10039	0	0	0	0	0	0	1
QUERCETIN-23-DIOXYGENASE-RXN	0	0	0	0	0	2	1
ISPH2-RXN	1	0	2	4	2	8	6
PEPCARBOX-RXN	2	3	2	1	0	2	1
ADENODEAMIN-RXN	1	1	0	2	0	5	1
RXN-10055	1	2	1	0	2	1	0
RXN-9615	4	5	1	1	1	7	7
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	0	1	0	0	0	0	0
THIOREDOXIN-REDUCT-NADPH-RXN	0	3	5	0	5	1	4
RXN1G-1053	1	0	0	0	0	0	0
RXN1G-1050	1	0	0	0	0	0	0
RXN-11484	0	0	1	1	2	0	0
R345-RXN	0	1	0	0	3	2	1
CARDIOLIPSYN-RXN	9	5	0	0	5	1	3
3.1.4.14-RXN	0	0	0	0	1	0	0
RXN0-6513	0	1	0	0	0	0	0
COBINAMIDEKIN-RXN	1	0	0	0	0	0	0
AICARSYN-RXN	7	5	1	2	5	4	0
O-SUCCHOMOSERLYASE-RXN	1	1	1	0	2	0	1
2-OXOBUTYRATE-SYNTHASE-RXN	1	2	1	3	1	2	7
3-ISOPROPYLMALISOM-RXN	3	9	3	7	5	9	3
AICARTRANSFORM-RXN	1	0	0	0	0	1	2
DEHYDDEOXGALACTKIN-RXN	0	0	0	0	0	0	1
RXN-8269	0	0	0	1	0	0	0
GLUTATHIONE-PEROXIDASE-RXN	3	1	1	2	1	0	0
RXN-2463	0	0	0	0	0	1	0
RXN-8156	0	0	0	1	0	0	0
2.5.1.46-RXN	1	1	1	1	2	0	1
ACSERLY-RXN	4	2	2	4	3	9	6
CDP-GLUCOSE-46-DEHYDRATASE-RXN	0	0	1	1	1	3	0
ISOCIT-CLEAV-RXN	2	1	0	1	3	1	1
SHIKIMATE-5-DEHYDROGENASE-RXN	1	1	2	1	0	2	4
RXN-10853	0	0	0	0	1	0	0
CARBAMATE-KINASE-RXN	0	1	0	1	1	0	1
NAG1P-URIDYLTRANS-RXN	3	1	0	1	0	1	1
DXPREDISOM-RXN	2	0	1	0	2	4	5
RXN-11569	1	2	0	2	5	3	5
ALDEHYDE-OXIDASE-RXN	1	0	0	0	3	2	1
RXN66-62	1	0	0	0	3	2	1
RIBAZOLEPHOSPHAT-RXN	0	0	0	0	0	1	0
2OXOGLUTARATEDEH-RXN	2	3	0	0	0	0	1
2.1.3.1-RXN	2	2	1	2	1	3	4
RXN-10819	2	0	0	0	0	0	1
ASNSYNA-RXN	0	1	0	1	4	2	5
DIHYDRODIPICSYN-RXN	5	3	3	7	5	3	5
PANTOTHENATE-KIN-RXN	0	1	1	3	1	1	3
RXN-9386	0	1	0	0	0	0	1
BIOTINLIG-RXN	0	1	2	0	2	0	0
GARTRANSFORMYL2-RXN	3	2	1	0	3	1	4
FORMYLMETHANOFURAN-DEHYDROGENASE-RXN	0	0	0	0	0	1	0
UDPNACETYLGLUCOSAMACYLTRANS-RXN	0	1	1	1	0	3	1
1.14.12.18-RXN	0	2	0	0	0	0	0
RXN-8102	0	3	0	3	2	2	0
PHOSPHOGLUCMUT-RXN	0	2	0	1	1	0	0
FUMARYLACETOACETASE-RXN	1	1	0	2	1	3	5
DXS-RXN	1	2	1	5	2	5	1
PSERTRANSAMPYR-RXN	2	2	2	0	0	1	1
1.14.19.1-RXN	4	2	2	2	4	0	4
5.4.99.17-RXN	0	0	0	2	0	1	3
PEPDEPHOS-RXN	6	3	0	1	1	0	3
ATPPHOSPHORIBOSYLTRANS-RXN	2	3	0	3	2	2	1
PHOSPHOENOLPYRUVATE-MUTASE-RXN	1	0	0	0	0	0	1
PHOSCHOL-RXN	1	0	0	0	0	0	2
RXN0-5055	1	0	1	1	2	2	1
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	5	5	0	0	1	1	1
HISTIDINE-AMMONIA-LYASE-RXN	1	1	0	0	0	1	1
RXN-2401	0	0	2	0	2	2	2
LYSDECARBOX-RXN	0	0	1	0	1	0	1
RXN0-949	2	3	1	2	3	1	2
2.5.1.21-RXN	0	0	0	1	0	0	2
PRTRANS-RXN	1	0	2	4	3	5	3
UROGENDECARBOX-RXN	3	1	1	1	0	1	1
AMONITRO-RXN	0	0	0	1	0	0	0
RXN0-302	0	0	1	0	1	2	2
MALYL-COA-LYASE-RXN	0	0	0	0	0	0	1
P-PANTOCYSDECARB-RXN	0	2	2	2	0	0	0
PHOSPHAGLYPSYN-RXN	1	1	0	1	4	4	0
HOMSUCTRAN-RXN	0	0	1	0	0	0	0
RXN-12611	0	1	0	1	0	0	0
23-DIMETHYLMALATE-LYASE-RXN	0	1	0	1	0	0	0
RXN66-221	1	0	0	0	0	0	2
RXN-9718	0	0	0	0	0	0	3
RXN1G-951	1	0	0	0	0	0	0
GLUCONATE-5-DEHYDROGENASE-RXN	1	0	0	0	0	0	0
1.2.1.2-RXN	6	4	2	7	16	15	9
CHOLATE--COA-LIGASE-RXN	0	0	0	0	0	1	0
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	7	4	0	3	2	3	1
RXN1F-20	4	4	0	4	3	0	3
RXN1G-1247	1	0	0	0	0	0	0
URACIL-PRIBOSYLTRANS-RXN	1	0	0	0	5	1	1
2.7.7.1-RXN	0	0	1	0	0	0	0
2.8.1.6-RXN	2	0	0	0	3	1	1
NAD-SYNTH-GLN-RXN	3	4	4	4	8	6	2
KDO-8PSYNTH-RXN	0	1	1	4	1	6	1
SAICARSYN-RXN	2	3	0	0	3	2	3
NITRITE-REDUCTASE-CYTOCHROME-RXN	2	0	1	1	0	0	0
ASPAMINOTRANS-RXN	5	10	5	3	5	10	9
SUCCGLUDESUCC-RXN	0	0	0	0	0	0	2
2.5.1.41-RXN	0	0	0	0	2	0	0
L-LACTATE-DEHYDROGENASE-RXN	5	1	2	2	2	6	9
GLYCOLATEDEHYDRO-RXN	5	0	1	2	0	1	1
RXN0-1133	5	8	4	3	1	6	5
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	0	0	0	1	1	2	1
GLUTAMINESYN-RXN	7	9	1	7	12	10	11
GLYCINE--TRNA-LIGASE-RXN	6	2	0	2	5	4	7
CREATININASE-RXN	1	2	0	4	1	2	2
RXNI-2	0	0	0	2	1	0	1
RXN-11316	2	0	0	0	0	1	0
DCTP-DEAM-RXN	1	0	1	0	0	3	0
RXN-12144	0	0	0	1	1	0	0
1.1.1.34-RXN	0	1	1	1	0	1	0
CITSYN-RXN	6	5	0	4	4	3	6
CYSTAGLY-RXN	0	0	0	0	0	0	1
GLYCEROL-KIN-RXN	1	7	3	2	2	5	3
RXN0-6478	3	1	4	5	5	7	4
RIB5PISOM-RXN	2	4	0	2	2	1	0
RXN-9220	0	0	0	0	1	1	0
RXN-8809	0	0	0	0	1	0	0
CYTDEAM-RXN	0	1	0	2	2	0	2
RXN-11084	0	0	0	0	1	2	0
3-ISOPROPYLMALDEHYDROG-RXN	4	4	0	5	7	5	6
3.1.26.5-RXN	4	2	5	5	5	7	6
GLUTATHIONE-SYN-RXN	1	0	0	0	1	5	1
RXN-7811	0	0	0	0	2	0	0
DALADALALIG-RXN	3	1	1	2	1	3	3
DTDPKIN-RXN	4	3	1	2	2	1	4
RXNARA-8002	0	1	2	2	0	1	0
METHANOL-DEHYDROGENASE-RXN	1	0	0	0	1	0	1
RXN0-1132	10	12	6	6	7	15	11
RXN-2901	0	3	0	0	0	1	0
FPPSYN-RXN	1	0	0	1	4	1	1
ISOCHORMAT-RXN	0	0	1	1	0	2	0
THI-P-SYN-RXN	0	1	1	2	0	0	1
THRESYN-RXN	1	8	2	3	7	8	11
2.5.1.32-RXN	0	1	2	2	0	1	0
RXN0-5293	0	5	0	0	0	2	0
GSAAMINOTRANS-RXN	0	6	3	5	1	3	7
RXN-11472	2	2	0	0	0	1	1
HISTIDINE--TRNA-LIGASE-RXN	0	3	3	1	2	6	5
CMPKI-RXN	1	0	0	1	4	6	1
ADENPRIBOSYLTRAN-RXN	0	0	2	1	1	4	1
2-METHYLCITRATE-DEHYDRATASE-RXN	2	0	0	0	0	1	2
RXN-8999	2	1	0	1	3	1	1
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	4	1	0	0	2	0	2
GCVMULTI-RXN	1	0	0	1	0	0	2
RXN-9722	2	2	0	0	0	1	1
RXNI-3	1	1	0	0	0	0	0
RXN-12274	5	4	1	7	14	13	6
12-OXOPHYTODIENOATE-REDUCTASE-RXN	0	0	0	1	0	1	0
RXN-8838	0	1	1	0	0	0	2
RIBOFLAVIN-SYN-RXN	1	1	5	0	1	7	5
RXN1G-163	1	0	0	0	0	0	0
ARGSUCCINLYA-RXN	3	0	1	2	2	3	4
THREDEHYD-RXN	2	1	0	0	3	2	0
AIRCARBOXY-RXN	0	1	2	2	5	0	0
BIOTIN-CARBOXYL-RXN	2	4	0	2	3	4	1
GLURS-RXN	3	4	3	0	6	1	4
HISTAMINOTRANS-RXN	1	4	2	0	4	3	6
RXN1G-287	1	0	0	0	0	0	0
AMPSYN-RXN	7	5	1	2	5	4	0
MANNPISOM-RXN	2	0	0	0	1	0	2
RXN-11471	0	0	0	0	0	1	0
ASPARAGHYD-RXN	2	0	1	1	0	3	3
RXN-5283	1	0	0	0	0	0	0
RIBOFLAVINKIN-RXN	0	0	0	0	3	1	0
GAPOXNPHOSPHN-RXN	2	4	3	1	1	3	5
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	14	11	7	12	4	12	11
2.7.7.60-RXN	0	0	0	2	2	1	2
RXN-12000	7	18	3	3	17	14	15
SHIKIMATE-KINASE-RXN	0	1	1	2	1	3	1
GLUCUROISOM-RXN	3	0	0	0	0	0	1
RXN0-299	3	3	2	0	3	4	1
NAD-KIN-RXN	5	3	2	0	3	0	0
RXN0-901	1	4	0	3	0	4	2
3.2.1.33-RXN	0	0	0	0	0	0	1
RXN0-6485	3	1	4	5	5	7	4
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	2	1	1	1	1	1	1
TOLUENE-SIDE-CHAIN-MONOOXYGENASE-RXN	0	0	0	1	0	0	0
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	0	0	0	2	0	2	1
DIHYDROPICRED-RXN	0	4	0	0	1	1	1
6PFRUCTPHOS-RXN	1	2	0	0	1	3	2
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN	0	1	0	0	0	1	1
CYSTATHIONINE-BETA-SYNTHASE-RXN	3	2	0	5	3	5	5
LIPIDXSYNTHESIS-RXN	1	0	0	0	1	0	0
METHENYLTHFCYCLOHYDRO-RXN	0	2	0	0	0	5	2
RXN-11322	1	0	0	0	0	0	2
TRYPTOPHAN-23-DIOXYGENASE-RXN	1	2	0	0	1	2	0
IMIDAZOLONEPROPIONASE-RXN	0	0	1	0	2	0	0
RXN1G-881	1	0	0	0	0	0	0
4.1.1.77-RXN	0	1	0	0	0	0	1
PHENYLACETATE--COA-LIGASE-RXN	2	1	0	0	0	0	1
R465-RXN	0	1	0	0	0	0	0
RXN-710	2	2	0	0	0	1	1
1.8.98.1-RXN	1	0	2	0	0	1	1
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	3	7	3	6	8	8	6
1.1.1.178-RXN	1	0	0	0	2	0	1
GMP-SYN-GLUT-RXN	16	2	5	6	4	16	20
1.11.1.12-RXN	3	1	1	2	1	0	0
HISTCYCLOHYD-RXN	0	2	1	0	0	3	0
ISOLEUCINE--TRNA-LIGASE-RXN	12	8	3	3	8	3	8
CYTIDEAM2-RXN	0	0	1	1	0	0	1
RXN-8992	0	1	0	1	0	5	1
RXN0-5408	5	5	0	0	0	1	1
TREHALOSE6PSYN-RXN	0	0	2	0	1	0	4
ENZRXN-161-RXN	0	0	1	0	0	0	0
CHOLINE-KINASE-RXN	0	0	0	0	1	0	0
URIDINEKIN-RXN	0	1	1	0	0	1	0
RXN0-5146	0	0	0	0	0	0	1
6.3.2.10-RXN	0	0	0	0	1	0	1
HISTOLDEHYD-RXN	3	2	1	6	2	2	2
RXN-2861	1	0	0	0	1	0	1
N-ACETYLTRANSFER-RXN	1	2	1	0	2	1	1
CATAL-RXN	3	0	1	1	0	0	2
RXNN-386	0	4	0	0	0	0	0
RXN-9	1	3	0	2	1	2	5
GLUCDEHYDROG-RXN	0	2	2	1	2	5	9
NITRATE-REDUCTASE-CYTOCHROME-RXN	0	0	2	1	0	0	1
RXN0-3561	1	0	0	0	1	2	3
ACETYLORNDEACET-RXN	0	1	1	2	5	4	5
FABAUNSATDEHYDR-RXN	0	0	0	0	1	0	2
RXN-7812	0	0	0	0	2	0	0
AGMATIN-RXN	2	3	0	2	2	4	5
HISTIDPHOS-RXN	1	1	1	0	1	2	0
RXN66-3	7	18	3	3	17	15	16
RXN-982	0	1	0	3	3	0	1
RIBOFLAVINSYNDEAM-RXN	0	0	0	0	0	2	1
GLUCOSE-1-DEHYDROGENASE-RXN	2	3	2	1	0	1	2
RXN-12141	5	4	0	0	1	0	0
1.1.1.8-RXN	0	0	1	0	0	0	0
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	1	4	0	0	0	1	0
H2PTERIDINEPYROPHOSPHOKIN-RXN	2	0	1	0	0	1	2
FGAMSYN-RXN	4	7	4	7	9	9	6
ALCOHOL-DEHYDROG-RXN	7	6	3	5	7	10	12
RXN0-5260	2	0	0	3	1	1	3
ADENYLYLSULFATE-REDUCTASE-RXN	0	0	0	3	1	3	3
DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	0	0	1	0	0	0	0
R161-RXN	0	0	0	0	0	0	2
RXN-1082	0	0	0	0	0	2	1
GLYC3PDEHYDROGBIOSYN-RXN	3	1	0	4	2	1	3
L-RHAMNONO-14-LACTONASE-RXN	0	0	0	0	2	0	0
RXN-12093	2	0	1	0	1	0	1
2.7.1.68-RXN	0	0	0	0	0	1	0
GLUTAMIN-RXN	14	12	8	12	4	13	11
3-OXOACYL-ACP-REDUCT-RXN	8	3	0	2	6	9	6
RXN490-3650	0	0	0	0	1	0	0
RXN1G-613	1	0	0	0	0	0	0
HOMOSERDEHYDROG-RXN	0	0	1	1	0	4	6
RXN0-6274	2	3	0	1	1	1	0
ALTRO-OXIDOREDUCT-RXN	0	1	0	0	0	0	0
UROGENIIISYN-RXN	0	0	0	1	1	0	0
ARGDECARBOX-RXN	0	1	1	0	1	0	0
FUMHYDR-RXN	7	4	5	1	5	1	8
URKI-RXN	0	1	1	0	0	1	0
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	5	2	0	1	6	4	3
MALIC-NADP-RXN	5	1	6	4	1	6	3
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	0	1	0	0	0	0	0
1.7.2.2-RXN	2	0	1	1	0	0	0
RXN-10	3	1	0	2	2	3	2
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	5	2	5	4	1	6	3
CHD-RXN	1	2	2	1	0	0	1
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	2	1	1	1	1	1	1
RXN1G-157	1	0	0	0	0	0	0
RXN-7835	1	4	1	1	0	0	0
DIHYDROOROT-RXN	4	4	2	2	4	6	7
UROCANATE-HYDRATASE-RXN	2	0	1	0	3	2	1
GPPSYN-RXN	1	0	0	0	4	1	1
TSA-REDUCT-RXN	0	2	2	4	2	0	4
RXN0-4022	0	1	0	0	2	2	0
RXN-9528	1	0	0	0	0	0	0
RXN-3963	0	0	0	0	0	2	0
DMBPPRIBOSYLTRANS-RXN	0	3	0	0	0	1	0
RXN0-2142	1	0	0	0	0	0	0
RXN-12466	0	0	0	0	1	0	0
RXN-12104	1	0	0	0	0	2	0
ENOYL-COA-DELTA-ISOM-RXN	0	1	1	0	0	0	0
AIRS-RXN	1	2	2	4	2	2	3
5.1.1.18-RXN	0	1	0	0	0	0	0
CYTOCHROME-C-OXIDASE-RXN	10	6	4	4	13	14	15
GERANOYL-COA-CARBOXYLASE-RXN	0	1	1	0	0	0	0
UREA-CARBOXYLASE-RXN	1	2	0	0	1	0	0
ARGININE-DEIMINASE-RXN	0	0	0	0	0	0	1
DHHB-METHYLTRANSFER-RXN	2	1	1	1	1	1	1
L-LYSINE-AMINOTRANSFERASE-RXN	0	0	3	0	0	1	0
PROPIONYL-COA-CARBOXY-RXN	3	3	1	4	2	6	5
THIOESTER-RXN	1	2	1	0	1	1	2
SAMDECARB-RXN	0	0	0	1	1	0	3
2.3.1.168-RXN	0	0	0	3	1	1	3
ALANINE-AMINOTRANSFERASE-RXN	1	1	2	0	1	0	0
R145-RXN	0	0	0	0	0	0	1
ACETYL-COA-CARBOXYLTRANSFER-RXN	8	10	2	7	9	14	9
RXN1G-358	1	0	0	0	0	0	0
GTP-CYCLOHYDRO-II-RXN	2	4	1	0	3	2	0
CPM-KDOSYNTH-RXN	2	0	1	1	0	5	2
RXN0-5268	0	2	0	0	1	1	0
RXN-37	7	18	3	3	17	14	15
1.1.1.51-RXN	2	2	0	0	0	1	1
RXN0-1134	6	9	4	6	2	4	6
RXN66-362	2	1	1	0	0	0	0
1.14.12.1-RXN	0	0	0	0	1	0	0
SULFATE-ADENYLYLTRANS-RXN	0	3	3	3	2	3	6
ACETOLACTSYN-RXN	8	9	11	4	13	12	8
RXN-12423	0	0	1	0	0	0	0
GKI-RXN	2	1	0	0	0	3	0
COBALAMINSYN-RXN	0	1	0	0	1	1	1
RXN0-4621	3	2	0	0	1	2	1
RXN1-42	0	0	1	0	0	0	0
ADENYL-KIN-RXN	2	2	0	3	2	2	3
THREONINE-ALDOLASE-RXN	1	3	1	3	1	2	2
LIPIDADISACCHARIDESYNTH-RXN	0	2	0	0	0	1	0
PROLINE--TRNA-LIGASE-RXN	3	4	2	2	1	8	2
RXN-9988	0	0	0	1	0	0	2
PYRROLINECARBREDUCT-RXN	2	1	2	0	1	2	2
RXN-10462	0	1	0	1	1	2	0
CARBPSYN-RXN	1	9	9	8	12	20	17
PHOSPHASERDECARB-RXN	2	2	2	1	2	1	2
GLUTKIN-RXN	1	0	1	5	2	6	3
FADSYN-RXN	1	0	1	2	0	0	1
RXN-3142	0	0	0	0	1	0	0
PRAISOM-RXN	1	0	0	0	1	1	0
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	2	2	0	0	1	0	0
XYLULOKIN-RXN	0	2	0	1	1	1	0
CYSTEINE--TRNA-LIGASE-RXN	1	1	2	1	5	5	1
RXN-12626	0	0	0	0	0	2	0
OHACYL-COA-DEHYDROG-RXN	7	11	5	3	9	14	8
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	1	5	2	4	4	4	5
METHYLASPARTATE-MUTASE-RXN	0	0	0	1	0	4	0
OROPRIBTRANS-RXN	0	1	1	1	3	1	1
HOMOCYSMET-RXN	3	1	0	7	6	15	4
VALINE--TRNA-LIGASE-RXN	3	6	2	4	6	7	10
RXN0-6377	2	0	1	1	0	0	0
RXN-11717	5	6	6	2	6	4	6
TRANSALDOL-RXN	3	9	1	3	3	3	3
2.5.1.39-RXN	0	2	1	0	0	1	1
3-HYDROXY-KYNURENINASE-RXN	1	2	0	0	2	2	1
RXN0-2301	2	1	0	0	2	0	0
FORMATE-DEHYDROGENASE-NADP+-RXN	5	4	1	7	14	13	6
ASPARAGINE--TRNA-LIGASE-RXN	0	2	1	0	3	2	1
UDP-NACMURALGLDAPAALIG-RXN	0	2	0	0	3	0	1
RXN-8775	0	0	0	0	1	0	0
RXN-7968	0	1	1	1	0	0	5
LYSINE-23-AMINOMUTASE-RXN	0	0	0	1	2	2	1
GLUTATHIONE-REDUCT-NADPH-RXN	2	0	0	0	0	3	2
2.1.1.137-RXN	0	0	0	1	0	0	0
RXN0-882	1	0	1	4	8	2	5
NAD-SYNTH-NH3-RXN	3	5	5	5	8	6	2
PYRUVDEH-RXN	5	8	3	3	1	4	5
MALATE-DEH-RXN	0	0	0	0	0	0	1
RXN-10670	0	0	0	1	0	0	1
DTMPKI-RXN	2	0	2	2	0	0	4
4.2.1.99-RXN	2	0	0	0	0	1	0
RXN0-724	0	0	0	0	0	0	2
DAPASYN-RXN	0	2	3	3	2	9	4
UDP-NACMURALA-GLU-LIG-RXN	2	3	1	2	0	1	4
PEPCARBOXYKIN-RXN	4	5	3	2	4	5	6
ORNITHINE-GLU-AMINOTRANSFORASE-RXN	0	0	0	0	0	0	2
RXN-7716	7	7	3	0	0	0	7
R23-RXN	9	4	3	1	4	3	5
MALATE--COA-LIGASE-RXN	2	4	3	2	6	6	2
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	0	0	0	0	3	0	2
SERINE-O-ACETTRAN-RXN	2	5	2	1	2	4	2
HYPOXANPRIBOSYLTRAN-RXN	3	0	0	0	2	0	3
THREONINE--TRNA-LIGASE-RXN	3	1	3	2	5	1	8
3.1.6.4-RXN	2	4	1	6	4	6	4
GLUTDEHYD-RXN	18	14	9	13	6	12	13
ASNSYNB-RXN	2	1	0	1	6	4	6
