RXN	1_upper_euphotic	6_upper_euphotic	2_chlorophyllmax	3_below_euphotic	5_uppermesopelagic	7_omz	4_deepabyss
1.7.7.2-RXN	0	0	0.477121255	0	0	0.301029996	0.301029996
PPGPPSYN-RXN	0	0.301029996	0	0	0	0	0
RXN-6641	0.301029996	0	0.301029996	0	0.301029996	0.602059991	0.477121255
RXN3DJ-170	0.301029996	0	0	0	0	0	0.477121255
GUANIDINOBUTYRASE-RXN	0	0	0	0.301029996	0	0.301029996	0.477121255
1.2.1.32-RXN	0	0.698970004	0.301029996	0	0.301029996	0.477121255	0.602059991
RXN0-3601	0	0.477121255	0.301029996	0.301029996	0	0.301029996	0
RXN-11496	0.77815125	0.84509804	0.602059991	0.602059991	0.301029996	0.698970004	0.77815125
DIHYDROFOLATEREDUCT-RXN	0.301029996	0.602059991	0	0.301029996	0.301029996	0.301029996	0.477121255
R311-RXN	0.903089987	0.954242509	0.84509804	0.903089987	1.146128036	1.041392685	1.113943352
PNPOXI-RXN	0.301029996	0.301029996	0.602059991	0.301029996	0	0.602059991	0.602059991
CARBON-MONOXIDE-DEHYDROGENASE-RXN	0.903089987	1.041392685	0.602059991	1.041392685	0.954242509	1.361727836	1.041392685
RXN1G-384	0.301029996	0	0	0	0	0	0
ARGINASE-RXN	0	0	0	0.301029996	0	0.301029996	0.301029996
BAIAEUBSP-RXN	0	0	0	0	0	0.301029996	0
CHORISMATE-SYNTHASE-RXN	0.602059991	0.477121255	0.477121255	0.477121255	0.477121255	0.301029996	0.602059991
RXN-8890	0	0	0	0	0	0	0.301029996
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	0.301029996	0	0	0	0.301029996	0	0
RXN-7614	0	0	0	0	0	0.477121255	0
RXN-5961	0	0.301029996	0	0	0	0	0
RIBOFLAVINSYNREDUC-RXN	0	0	0	0	0.477121255	0	0.301029996
MALONYL-COA-DECARBOXYLASE-RXN	0	0	0.301029996	0	0	0	0
ETHAMLY-RXN	0	0	0.301029996	0	0	0	0
RXN1A0-6316	0	0.301029996	0	0.301029996	0.301029996	0	0
ARGININE-2-MONOOXYGENASE-RXN	0	0.301029996	0.301029996	0	0	0	0
CTPSYN-RXN	0.602059991	0	0.602059991	0.602059991	1	0.77815125	0.301029996
RXN0-5199	0	0.301029996	0	0	0.602059991	0	0
RXN-9556	0.301029996	0	0	0	0	0	0
ALLOPHANATE-HYDROLASE-RXN	0.477121255	0	0	0	0.301029996	0.477121255	0.301029996
PROTOCATECHUATE-45-DIOXYGENASE-RXN	0	0	0	0	0	0.301029996	0
RXNN-404	0.301029996	0	0	0	0	0	0.301029996
RXN0-262	0.301029996	0	0	0	0	0.602059991	0
NICONUCADENYLYLTRAN-RXN	0.477121255	0.301029996	0.301029996	0	0	0.477121255	0
GLUTAMATE-SYNTHASE-NADH-RXN	1.176091259	1.079181246	0.954242509	1.255272505	1.041392685	1.204119983	1.176091259
2-DEHYDROPANTOATE-REDUCT-RXN	0.477121255	0.602059991	0	0.301029996	0.301029996	0.477121255	0.477121255
RXN0-1147	0.698970004	0.77815125	0	0	0	0	0.477121255
1.2.7.4-RXN	0.903089987	1.041392685	0.602059991	1.041392685	0.954242509	1.342422681	0.954242509
NICOTINE-DEHYDROGENASE-RXN	0	0	0	0	0	0	0.477121255
BETAGALACTOSID-RXN	0	0.301029996	0	0	0	0	0
ISOCHORSYN-RXN	0.301029996	0.477121255	0	0	0	0	0
RXN0-2382	0.84509804	0.84509804	0.477121255	0.602059991	0.301029996	0.84509804	0.477121255
2-OXOGLUTARATE-SYNTHASE-RXN	0.602059991	0.698970004	0.477121255	0.698970004	0.698970004	0.903089987	0.602059991
GLYOXI-RXN	0.301029996	0.301029996	0	0.301029996	0	0.301029996	0.301029996
RXN-10828	0	0.301029996	0	0	0	0	0
RXN1G-637	0.301029996	0	0	0	0	0	0
BISPHOSPHOGLYCERATE-MUTASE-RXN	0.602059991	0.301029996	0.477121255	0.477121255	0.301029996	0.477121255	0.77815125
RXN-7929	0	0	0.301029996	0	0.301029996	0	0
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	0.301029996	0	0	0	0	0	0.301029996
HOMOCYSMETB12-RXN	0.77815125	0.477121255	0.477121255	1	0.903089987	1.255272505	0.84509804
S-ADENMETSYN-RXN	0.698970004	0.602059991	0.477121255	0.301029996	0.301029996	0.477121255	0.77815125
3.7.1.9-RXN	0.477121255	0	0	0	0	0	0
PHENYLALANINE-4-MONOOXYGENASE-RXN	0	0	0	0	0.301029996	0	0
RXN-7002	0	0	0	0.602059991	0	0	0
